chunk_size,chunk_size2,chunk_size3,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,omp_proc_bind,permutation,hostname,compute_time,compute_times,Timestamps,Feasibility,energy
8,4,16,2,6,2,1,1,0,"(1, 2, 3, 0, 4)",hpclab63.idi.ntnu.no,38.8518905,"[39.063288, 39.0148, 38.753453, 39.256088, 39.219188, 38.687033, 38.578124, 39.199489, 38.656894, 38.717664]",1702759242643,True,0.8698083000002953
8,8,16,16,8,0,1,1,0,"(0, 1, 2, 3, 4)",hpclab63.idi.ntnu.no,2.843131,"[3.015659, 3.025629, 2.827441, 2.840841, 2.840491, 2.830411, 2.989868, 2.98158, 2.996519, 2.834241]",1702759243379,True,0.08901060000061989
16,8,2,2,8,1,1,0,0,"(1, 0, 2, 3, 4)",hpclab63.idi.ntnu.no,3.0727085,"[4.237166, 3.089777, 3.071999, 3.065159, 3.086978, 3.038499, 3.071658, 3.056458, 3.071549, 3.0278]",1702759244146,True,0.11939080000011018
4,2,2,256,8,2,1,0,0,"(0, 1, 2, 3, 4)",hpclab63.idi.ntnu.no,1.9731545,"[3.408065, 2.139988, 1.809031, 1.96513, 1.660343, 1.556264, 1.527404, 1.507884, 1.593134, 1.541115]",1702759244851,True,0.06533019999988028
2,2,2,256,2,0,0,0,0,"(0, 1, 3, 2, 4)",hpclab63.idi.ntnu.no,4.0594285,"[4.472654, 4.125108, 4.059388, 4.052349, 4.034609, 4.048709, 4.042189, 4.078907, 4.059469, 4.066409]",1702759245670,True,0.11788030000025174
2,8,32,32,10,1,0,0,0,"(3, 0, 1, 2, 4)",hpclab63.idi.ntnu.no,305.4619815,"[305.546545, 305.419557, 304.642365, 304.324068, 306.224329, 305.504406, 306.789493, 305.249838, 306.203299, 305.211168]",1702759261567,True,6.816023299999506
512,32,32,8,10,2,0,1,0,"(2, 3, 0, 1, 4)",hpclab19.idi.ntnu.no,80.28393700000001,"[80.102487, 80.206887, 80.403508, 80.708448, 80.769388, 80.054747, 80.359587, 80.780049, 80.496528, 79.990347]",1702759266228,True,1.953461900000184
256,16,4,1,2,1,0,0,0,"(0, 3, 2, 1, 4)",hpclab19.idi.ntnu.no,6.80707,"[7.519441, 7.121421, 6.979599, 6.835331, 6.878079, 6.773461, 6.859939, 6.85414, 6.741481, 6.692889]",1702759267208,True,0.18612319999992905
1024,4,4,32,2,2,1,1,0,"(2, 1, 3, 0, 4)",hpclab19.idi.ntnu.no,9.9734295,"[10.006264, 9.979844, 9.962915, 9.957604, 9.965946, 9.971025, 9.966453, 9.963635, 9.984584, 9.976804]",1702759268343,True,0.24196590000028664
8,4,2,8,12,0,0,1,0,"(3, 2, 0, 1, 4)",hpclab19.idi.ntnu.no,6.148615,"[6.230499, 6.114539, 6.191919, 6.187769, 6.134789, 6.136459, 6.166809, 6.13491, 6.185418, 6.33092]",1702759269286,True,0.17926619999998367
32,16,4,64,6,1,0,1,0,"(2, 3, 1, 0, 4)",hpclab19.idi.ntnu.no,10.0814745,"[10.039524, 10.070094, 10.057445, 10.073035, 10.080865, 10.097405, 10.073935, 10.167954, 10.096984, 10.041575]",1702759270427,True,0.27133609999982583
128,32,2,16,2,0,0,1,0,"(2, 1, 0, 3, 4)",hpclab19.idi.ntnu.no,17.1689555,"[17.181655, 16.762775, 16.714443, 16.971706, 17.093065, 16.891645, 16.766374, 16.825075, 16.703715, 16.953674]",1702759271882,True,0.434914000000208
16,16,2,4,6,0,1,0,0,"(1, 3, 2, 0, 4)",hpclab19.idi.ntnu.no,4.963023,"[5.168468, 4.966608, 4.919786, 4.941878, 4.972927, 4.993747, 4.935768, 4.981687, 4.950257, 4.956687]",1702759272751,True,0.13770499999991442
128,4,8,256,16,2,1,0,0,"(3, 2, 0, 1, 4)",hpclab19.idi.ntnu.no,19.844629,"[19.882399, 19.980519, 19.881559, 20.00468, 19.959649, 19.965809, 19.94472, 20.024529, 20.055079, 20.012409]",1702759274386,True,0.46955889999990175
32,4,4,16,12,1,0,1,0,"(1, 0, 2, 3, 4)",hpclab19.idi.ntnu.no,2.2104785,"[3.194725, 2.212924, 2.215773, 2.199033, 2.209343, 2.198244, 2.201183, 2.211614, 2.204543, 2.246153]",1702759275109,True,0.09378940000024158
1024,2,4,256,4,1,1,1,0,"(1, 0, 3, 2, 4)",hpclab19.idi.ntnu.no,19.1164235,"[20.957241, 19.175288, 19.109499, 19.213707, 18.888917, 19.011498, 19.000068, 19.123348, 19.124987, 19.032369]",1702759276706,True,0.5003511000002618
32,4,16,16,14,1,1,1,0,"(3, 1, 2, 0, 4)",hpclab61.idi.ntnu.no,41.42016,"[39.896279, 40.09226, 39.699449, 39.57516, 39.978908, 39.5919, 39.592208, 39.64465, 39.948029, 39.65156]",1702759264251,True,1.1106603000000177
256,16,16,1,12,1,0,0,0,"(0, 2, 3, 1, 4)",hpclab61.idi.ntnu.no,2.8835675,"[3.032082, 2.916172, 2.902582, 2.883182, 2.872993, 2.896252, 2.876902, 2.889062, 2.875432, 2.870762]",1702759265011,True,0.11757199999992736
512,32,2,128,8,1,0,0,0,"(1, 2, 3, 0, 4)",hpclab61.idi.ntnu.no,4.846484,"[4.978754, 4.863423, 4.858044, 4.873253, 4.853444, 4.858633, 4.857194, 4.845103, 4.851314, 4.853783]",1702759265884,True,0.14142940000019735
512,32,4,4,2,1,1,1,0,"(2, 1, 0, 3, 4)",hpclab61.idi.ntnu.no,24.041898,"[25.46666, 24.225388, 24.222667, 24.292178, 24.103317, 24.190348, 24.036787, 24.144949, 24.127407, 24.148077]",1702759267690,True,0.6723558999998204
256,32,32,16,16,1,1,1,0,"(0, 3, 1, 2, 4)",hpclab61.idi.ntnu.no,4.4267085,"[4.444093, 4.296083, 4.374753, 4.447454, 4.322003, 4.366143, 4.461423, 4.449503, 4.335643, 4.453873]",1702759268536,True,0.2078139999997802
8,2,8,32,6,2,0,1,0,"(3, 0, 1, 2, 4)",hpclab61.idi.ntnu.no,20.4651195,"[20.658744, 20.330255, 21.314005, 20.447627, 20.347404, 20.287385, 20.339754, 20.490607, 20.632585, 20.534464]",1702759270186,True,0.5574388000000908
16,16,4,4,8,2,1,0,0,"(1, 3, 2, 0, 4)",hpclab61.idi.ntnu.no,9.967763,"[10.050988, 9.975477, 9.950059, 9.957527, 9.893797, 9.931127, 9.929877, 9.914627, 10.006948, 10.000267]",1702759271298,True,0.29227460000038263
128,4,4,128,8,1,0,1,0,"(1, 2, 0, 3, 4)",hpclab61.idi.ntnu.no,3.956168,"[5.015993, 3.994373, 3.948073, 3.949323, 3.904523, 3.906033, 3.904894, 3.906353, 3.923903, 3.918003]",1702759272095,True,0.1520917999994708
16,32,8,64,2,2,0,1,0,"(1, 3, 2, 0, 4)",hpclab61.idi.ntnu.no,39.7914345,"[39.92689, 39.714619, 39.81159, 39.771899, 39.7851, 39.710918, 39.880301, 39.597078, 39.81974, 39.707379]",1702759274700,True,1.0099575000007461
1024,8,2,1,16,1,1,0,0,"(2, 3, 0, 1, 4)",hpclab61.idi.ntnu.no,5.138749,"[5.180523, 5.139384, 5.027684, 4.966343, 5.265204, 5.285726, 5.032503, 5.138114, 5.147374, 4.958333]",1702759275592,True,0.12914219999947818
32,4,4,32,10,2,1,0,0,"(2, 0, 1, 3, 4)",hpclab62.idi.ntnu.no,3.2805335,"[5.377091, 3.500453, 3.142114, 3.112824, 3.133895, 3.258243, 2.994744, 2.770605, 3.482243, 3.462705]",1702759262356,True,0.12168720000008762
64,16,4,64,4,2,1,1,0,"(2, 3, 1, 0, 4)",hpclab62.idi.ntnu.no,9.0949275,"[9.045923, 9.073573, 9.096062, 9.111354, 9.091122, 9.079473, 9.070484, 9.176991, 9.069873, 9.048664]",1702759263444,True,0.22655840000043098
512,2,16,8,12,0,1,0,0,"(3, 2, 0, 1, 4)",hpclab62.idi.ntnu.no,41.962541,"[42.050011, 41.97866, 41.921502, 41.962621, 41.961962, 41.894102, 41.99706, 41.928011, 41.953311, 41.950392]",1702759266178,True,1.1051536999999372
1024,4,4,256,16,0,0,1,0,"(1, 2, 3, 0, 4)",hpclab62.idi.ntnu.no,10.072766,"[10.020431, 10.070942, 9.90183, 10.092651, 9.908702, 10.08406, 10.079651, 10.118972, 10.210521, 10.09684]",1702759267317,True,0.23472750000000814
1024,8,8,1,2,1,0,1,0,"(2, 3, 0, 1, 4)",hpclab62.idi.ntnu.no,20.304583,"[20.481141, 20.505272, 20.171592, 20.422031, 20.316673, 20.270902, 20.163161, 20.292493, 20.7662, 20.207782]",1702759268973,True,0.4732038999998622
1024,2,8,1,16,2,1,1,0,"(3, 1, 2, 0, 4)",hpclab62.idi.ntnu.no,19.7450535,"[19.690852, 19.849244, 19.771632, 19.736542, 19.748884, 19.738833, 19.759243, 19.758423, 19.741223, 19.737362]",1702759270593,True,0.4570106000002852
4,32,8,32,10,2,1,0,0,"(2, 0, 3, 1, 4)",hpclab62.idi.ntnu.no,29.8478035,"[30.222203, 29.413835, 29.913473, 29.326205, 31.222871, 29.324125, 29.782134, 29.254825, 30.142854, 30.118714]",1702759272718,True,1.0238605999998982
512,32,2,4,4,1,1,1,0,"(0, 3, 1, 2, 4)",hpclab62.idi.ntnu.no,2.953534,"[3.465114, 3.176724, 3.028444, 2.996604, 2.973314, 2.924645, 2.921375, 2.917514, 2.933754, 2.920524]",1702759273513,True,0.10092100000001665
16,16,8,64,16,2,1,1,0,"(2, 1, 0, 3, 4)",hpclab62.idi.ntnu.no,4.478441999999999,"[5.747778, 4.450733, 4.353721, 4.375901, 4.249082, 4.377813, 4.405381, 4.314362, 4.281732, 4.518691]",1702759274334,True,0.14434220000002823
64,8,4,2,4,0,0,0,0,"(0, 1, 2, 3, 4)",hpclab62.idi.ntnu.no,2.1353005,"[2.911165, 2.199726, 2.155977, 2.125386, 2.119666, 2.135945, 2.134466, 2.134656, 2.155576, 2.122797]",1702759275051,True,0.07668069999999716
256,2,16,256,4,1,0,0,0,"(1, 3, 0, 2, 4)",hpclab63.idi.ntnu.no,38.1867935,"[38.167908, 38.112909, 38.332546, 38.370805, 38.247537, 38.146369, 38.192939, 38.154069, 38.266678, 38.320517]",1702759264127,True,0.8640681999997468
16,16,16,8,2,1,1,1,0,"(3, 2, 0, 1, 4)",hpclab63.idi.ntnu.no,39.319587,"[39.681653, 39.321917, 39.621714, 39.144598, 39.242366, 39.374896, 39.424706, 39.297788, 39.307426, 39.660073]",1702759266712,True,0.8802568999999494
8,4,8,128,16,0,0,1,0,"(2, 1, 0, 3, 4)",hpclab63.idi.ntnu.no,2.068979,"[3.192536, 2.334656, 2.171028, 2.099809, 2.087419, 2.072299, 2.069288, 2.035448, 2.040899, 2.03204]",1702759267413,True,0.08324459999930696
4,32,2,256,10,2,0,0,0,"(0, 1, 3, 2, 4)",hpclab63.idi.ntnu.no,9.5417765,"[8.635261, 8.491722, 8.477714, 8.503173, 9.372833, 9.309563, 8.434954, 8.701131, 8.72288, 8.474803]",1702759268572,True,0.35396570000011707
4,2,16,256,14,0,0,0,0,"(0, 1, 2, 3, 4)",hpclab63.idi.ntnu.no,1.4994495,"[2.028798, 1.567413, 1.550013, 1.502695, 1.493435, 1.566254, 1.497495, 1.488814, 1.504745, 1.502135]",1702759269249,True,0.05821539999960805
32,8,4,1,2,2,1,0,0,"(2, 0, 3, 1, 4)",hpclab63.idi.ntnu.no,7.6252115,"[10.751321, 8.355133, 7.707332, 7.601541, 7.605443, 7.597833, 7.627692, 7.615013, 7.626031, 7.602723]",1702759270270,True,0.19761859999998704
128,32,4,32,6,0,0,1,0,"(3, 2, 1, 0, 4)",hpclab63.idi.ntnu.no,9.968948,"[10.007559, 9.920058, 9.88785, 9.949797, 9.841069, 9.976018, 9.850159, 9.938458, 9.885018, 10.059618]",1702759271398,True,0.22876630000027945
8,4,2,2,4,2,0,1,0,"(0, 2, 3, 1, 4)",hpclab63.idi.ntnu.no,4.2176315,"[4.506685, 4.316215, 4.262027, 4.215388, 4.199907, 4.227045, 4.210687, 4.200987, 4.204567, 4.191697]",1702759272228,True,0.12438929999989341
2,4,8,64,2,0,0,0,0,"(3, 2, 1, 0, 4)",hpclab63.idi.ntnu.no,36.293173,"[36.446866, 36.224079, 36.720624, 36.189109, 36.281048, 36.828213, 36.193399, 36.599774, 36.305298, 36.218409]",1702759274659,True,0.857925200000318
8,32,2,64,12,1,0,1,0,"(0, 1, 2, 3, 4)",hpclab63.idi.ntnu.no,3.4184900000000003,"[3.872491, 3.617513, 3.487024, 3.424135, 3.419325, 3.417655, 3.384474, 3.378325, 3.389516, 3.382626]",1702759275427,True,0.1526746000003186
512,8,8,4,16,2,1,1,0,"(1, 0, 2, 3, 4)",hpclab19.idi.ntnu.no,4.403651999999999,"[5.428789, 4.387105, 4.406548, 4.376246, 4.352236, 4.377867, 4.415276, 4.355207, 4.443667, 4.359506]",1702759277548,True,0.15452230000009876
512,2,4,1,12,0,0,0,0,"(2, 1, 3, 0, 4)",hpclab19.idi.ntnu.no,11.3518915,"[9.139795, 8.998593, 8.966593, 8.969313, 8.974734, 8.965242, 8.957413, 8.937502, 8.954483, 8.952344]",1702759278713,True,0.25479340000019873
256,4,16,4,6,0,0,0,0,"(3, 2, 0, 1, 4)",hpclab19.idi.ntnu.no,40.7193395,"[40.767179, 40.87974, 40.64579, 40.729859, 40.76061, 40.711009, 40.75337, 40.6812, 40.63174, 40.644009]",1702759281389,True,1.0296800000000075
4,4,32,128,6,0,0,0,0,"(2, 3, 0, 1, 4)",hpclab19.idi.ntnu.no,70.96066350000001,"[70.579224, 70.855184, 70.747812, 73.105028, 71.287844, 71.390623, 71.402955, 71.386985, 71.013064, 71.747315]",1702759285573,True,1.799508699999933
128,8,2,4,8,1,0,1,0,"(0, 1, 2, 3, 4)",hpclab19.idi.ntnu.no,1.654163,"[2.566974, 1.992822, 1.733163, 1.635763, 1.610992, 1.590432, 1.599423, 1.621602, 1.614362, 1.640512]",1702759286277,True,0.07111900000018068
32,32,8,4,12,1,0,0,0,"(2, 1, 0, 3, 4)",hpclab19.idi.ntnu.no,4.0979915,"[4.960717, 4.221367, 4.113215, 4.103947, 4.092776, 4.085695, 4.071416, 4.065986, 4.080456, 4.103207]",1702759287081,True,0.15164929999991728
256,4,2,1,4,2,0,0,0,"(0, 2, 1, 3, 4)",hpclab19.idi.ntnu.no,3.3048005,"[3.801526, 3.535686, 3.432284, 3.385765, 3.318926, 3.295114, 3.274935, 3.267595, 3.196705, 3.207484]",1702759287854,True,0.11013529999981983
256,8,32,2,2,2,1,0,0,"(3, 1, 0, 2, 4)",hpclab19.idi.ntnu.no,76.1592275,"[76.194541, 76.151841, 76.130412, 76.13226, 76.170131, 76.158043, 76.193071, 76.188031, 76.160412, 76.142081]",1702759292300,True,1.7638691000000108
2,8,2,4,12,0,1,1,0,"(2, 0, 3, 1, 4)",hpclab19.idi.ntnu.no,17.1553855,"[17.984586, 17.321006, 17.162615, 17.128266, 17.138464, 17.162076, 17.128014, 17.144485, 17.160655, 17.150116]",1702759293784,True,0.6882411000002321
1024,16,32,256,16,0,1,1,0,"(2, 1, 0, 3, 4)",hpclab19.idi.ntnu.no,33.489824,"[36.471714, 33.615968, 33.352139, 33.268828, 34.480941, 34.872571, 36.931883, 36.812574, 36.038933, 36.137273]",1702759296103,True,1.0675366999999825
512,32,8,16,16,1,1,1,0,"(3, 2, 0, 1, 4)",hpclab61.idi.ntnu.no,20.0915445,"[20.033894, 19.896156, 20.091575, 20.102754, 20.166044, 20.171537, 20.082734, 20.083984, 20.081744, 20.085796]",1702759278352,True,0.5126429000003554
128,16,4,64,4,2,1,1,0,"(0, 2, 3, 1, 4)",hpclab61.idi.ntnu.no,5.075379,"[5.360414, 5.256954, 5.047574, 5.275104, 4.965923, 5.261664, 4.966613, 5.132544, 5.110114, 4.963023]",1702759279223,True,0.14994800000058603
16,32,32,128,14,2,0,1,0,"(0, 3, 2, 1, 4)",hpclab61.idi.ntnu.no,13.800295,"[13.614829, 13.82726, 14.573862, 14.60893, 14.02742, 14.56516, 14.05094, 13.82846, 13.793491, 8.230486]",1702759280493,True,0.5070630000001983
16,32,32,128,4,2,0,0,0,"(2, 0, 3, 1, 4)",hpclab61.idi.ntnu.no,24.427712,"[29.471351, 24.931419, 28.182881, 27.259399, 24.92869, 24.615888, 24.714717, 24.46529, 24.400087, 24.373298]",1702759282352,True,0.7928361999998742
64,4,16,64,8,1,0,0,0,"(2, 3, 1, 0, 4)",hpclab61.idi.ntnu.no,39.14358,"[38.97764, 38.858737, 38.9536, 38.960848, 39.5395, 38.882818, 39.30952, 39.606018, 39.61791, 39.578918]",1702759284940,True,1.088948199999868
2,8,8,16,12,2,0,0,0,"(0, 2, 3, 1, 4)",hpclab61.idi.ntnu.no,12.8818095,"[17.357394, 10.485628, 12.711689, 12.916349, 12.925659, 12.817409, 17.671655, 14.08985, 10.415648, 10.458997]",1702759286193,True,0.460231599999679
32,4,32,16,4,0,0,1,0,"(1, 0, 2, 3, 4)",hpclab61.idi.ntnu.no,9.950457,"[11.4563, 10.274787, 10.044728, 9.971187, 9.946867, 9.978997, 9.933077, 9.963167, 9.938798, 9.934947]",1702759287294,True,0.30105709999988906
1024,2,16,8,14,0,1,1,0,"(1, 0, 2, 3, 4)",hpclab61.idi.ntnu.no,7.986471,"[8.801146, 8.355286, 8.086356, 8.009608, 7.934345, 7.905196, 7.871866, 7.817875, 7.887606, 7.884276]",1702759288300,True,0.266952499999752
8,2,16,2,14,0,1,0,0,"(2, 1, 3, 0, 4)",hpclab61.idi.ntnu.no,40.010944,"[39.99959, 39.605288, 41.939752, 39.259228, 39.00699, 39.449708, 39.55545, 39.404968, 39.13268, 39.166018]",1702759290924,True,1.1188706999993883
1024,2,2,2,8,0,0,1,0,"(3, 2, 1, 0, 4)",hpclab61.idi.ntnu.no,4.9834285000000005,"[5.108214, 4.981363, 4.977133, 4.985134, 4.971663, 4.973634, 4.979693, 4.988784, 4.984694, 4.978333]",1702759291802,True,0.14702760000000126
32,4,2,64,14,2,0,0,0,"(2, 3, 1, 0, 4)",hpclab62.idi.ntnu.no,5.079976,"[5.050021, 4.97467, 4.942221, 5.147411, 5.177639, 4.997081, 5.20825, 5.17248, 4.96197, 5.020912]",1702759277606,True,0.12207920000000741
4,16,4,1,12,2,1,1,0,"(3, 1, 2, 0, 4)",hpclab62.idi.ntnu.no,40.788053,"[40.602043, 40.801894, 40.473694, 40.755473, 40.722703, 40.904853, 40.679974, 40.572574, 40.713913, 40.893653]",1702759280251,True,1.057734899999923
512,8,2,16,2,1,1,0,0,"(1, 0, 3, 2, 4)",hpclab62.idi.ntnu.no,7.113092,"[7.782724, 7.428887, 7.444015, 7.425907, 7.469285, 7.439767, 7.457935, 7.793577, 7.439785, 7.402866]",1702759281247,True,0.2105222000001959
8,8,2,2,6,1,0,1,0,"(3, 1, 0, 2, 4)",hpclab62.idi.ntnu.no,4.8321415000000005,"[4.92625, 4.812932, 4.80078, 4.800461, 4.847861, 4.894311, 4.88875, 4.822292, 4.83394, 4.826281]",1702759282111,True,0.1258190000000468
512,16,16,16,8,1,1,1,0,"(1, 0, 2, 3, 4)",hpclab62.idi.ntnu.no,2.489035,"[4.239633, 2.406986, 2.351395, 2.385125, 2.370055, 2.371245, 2.389386, 2.368836, 2.381996, 2.376356]",1702759282844,True,0.09148850000019593
8,32,4,4,6,2,1,0,0,"(2, 0, 1, 3, 4)",hpclab62.idi.ntnu.no,26.4994795,"[30.212143, 26.213271, 26.44213, 26.556829, 26.43029, 26.7178, 26.380021, 26.438121, 26.638919, 26.90929]",1702759284780,True,0.781829099999959
2,32,16,128,6,0,1,0,0,"(1, 3, 2, 0, 4)",hpclab62.idi.ntnu.no,626.6535329999999,"[628.300458, 629.871917, 628.977918, 629.540555, 628.0263, 628.350799, 629.399617, 630.136876, 628.349768, 627.342351]",1702759317057,True,14.268457699999999
512,16,16,8,2,0,0,1,0,"(1, 0, 2, 3, 4)",hpclab62.idi.ntnu.no,12.256778,"[13.911564, 13.254695, 13.158825, 13.094476, 13.077825, 13.126826, 13.156694, 13.081385, 13.076755, 13.092746]",1702759318296,True,0.30916830000023765
8,4,32,2,8,1,1,0,0,"(3, 2, 1, 0, 4)",hpclab62.idi.ntnu.no,78.626097,"[78.888432, 79.18484, 79.050692, 79.030711, 78.603712, 78.213403, 78.182533, 78.648482, 78.293703, 78.200243]",1702759322864,True,1.8426766000000498
1024,8,8,1,6,2,1,1,0,"(1, 2, 3, 0, 4)",hpclab62.idi.ntnu.no,19.663843,"[19.811883, 19.645343, 19.643972, 19.665934, 19.632973, 19.681053, 19.658464, 19.635662, 19.628264, 19.652753]",1702759324486,True,0.4871833000001061
128,8,2,16,8,0,0,1,0,"(2, 3, 0, 1, 4)",hpclab63.idi.ntnu.no,5.0674025,"[5.051858, 4.979529, 4.943239, 5.213986, 5.266707, 5.082947, 5.139357, 5.149018, 5.005088, 4.940278]",1702759277604,True,0.11815950000018346
1024,4,4,256,16,1,0,0,0,"(3, 2, 1, 0, 4)",hpclab63.idi.ntnu.no,9.816399,"[9.905977, 9.80435, 9.794689, 9.795971, 9.790519, 9.79181, 9.788709, 9.999918, 9.798059, 9.999018]",1702759278731,True,0.2348695000000589
64,2,2,128,4,0,1,0,0,"(2, 0, 3, 1, 4)",hpclab63.idi.ntnu.no,3.652528,"[4.112528, 3.741251, 3.645383, 3.643473, 3.644113, 3.635533, 3.628202, 3.744982, 3.637493, 3.633453]",1702759279533,True,0.10320359999968787
512,32,8,2,4,2,0,1,0,"(0, 2, 1, 3, 4)",hpclab63.idi.ntnu.no,8.3950345,"[9.340215, 9.420073, 8.716221, 8.582581, 8.87844, 8.581111, 8.555993, 8.468782, 8.394014, 8.337804]",1702759280564,True,0.21212430000014137
1024,4,2,1,16,1,1,0,0,"(2, 1, 3, 0, 4)",hpclab63.idi.ntnu.no,4.884969,"[4.995738, 4.87715, 4.87494, 4.873659, 4.86564, 4.878561, 4.875721, 4.86681, 4.880909, 4.87117]",1702759281445,True,0.11766970000026049
512,2,16,64,12,2,1,1,0,"(2, 0, 3, 1, 4)",hpclab63.idi.ntnu.no,4.649038,"[4.767631, 5.096578, 4.622862, 4.621413, 4.623213, 4.84913, 4.83425, 4.641433, 4.850591, 4.624623]",1702759282294,True,0.15045150000005378
128,32,2,128,12,2,0,0,0,"(3, 2, 1, 0, 4)",hpclab63.idi.ntnu.no,4.924455,"[5.033628, 4.96252, 4.918799, 4.922629, 4.9098, 4.92442, 4.929199, 4.909989, 4.946039, 4.92449]",1702759283171,True,0.1202222999992955
16,4,2,4,12,0,0,0,0,"(0, 2, 3, 1, 4)",hpclab63.idi.ntnu.no,1.5620745,"[2.085428, 1.740182, 1.588094, 1.530915, 1.503705, 1.497224, 1.489755, 1.478205, 1.510414, 1.484304]",1702759283872,True,0.06093429999964428
128,8,4,256,14,0,0,0,0,"(0, 1, 2, 3, 4)",hpclab63.idi.ntnu.no,2.0884435,"[2.80663, 2.288426, 2.130538, 2.100698, 2.058379, 2.035099, 1.997989, 1.996899, 2.007218, 1.95929]",1702759284592,True,0.07490160000015748
16,2,16,4,4,1,0,1,0,"(1, 3, 0, 2, 4)",hpclab63.idi.ntnu.no,40.2112175,"[40.215108, 40.021749, 40.023949, 39.910971, 40.288477, 40.252757, 40.307936, 40.365486, 40.303817, 40.379275]",1702759287241,True,0.9435547000000952
2,8,8,8,2,1,0,1,0,"(0, 2, 3, 1, 4)",hpclab19.idi.ntnu.no,39.432997,"[39.288717, 39.494308, 39.381268, 39.418457, 39.816649, 39.447537, 39.369639, 39.569607, 39.346348, 39.620467]",1702759327078,True,0.9251398999997036
8,4,2,128,12,0,1,0,0,"(2, 0, 1, 3, 4)",hpclab19.idi.ntnu.no,3.4878855,"[5.782368, 4.152657, 3.710195, 3.552425, 3.521906, 3.525446, 3.553164, 3.510665, 3.533615, 3.486835]",1702759327878,True,0.1412875999998505
2,2,4,16,6,1,1,1,0,"(2, 0, 1, 3, 4)",hpclab19.idi.ntnu.no,4.022956,"[4.848688, 4.037385, 4.021976, 4.067116, 4.057146, 4.025296, 3.971906, 3.822056, 3.799016, 3.769265]",1702759328681,True,0.1282602000002953
8,2,32,32,2,2,1,0,0,"(1, 2, 3, 0, 4)",hpclab19.idi.ntnu.no,77.5769885,"[77.469414, 77.408334, 77.333483, 78.474874, 77.412802, 78.415605, 77.636345, 78.668045, 77.386573, 77.551844]",1702759333226,True,1.8009902000001603
1024,4,4,1,2,2,0,0,0,"(1, 2, 0, 3, 4)",hpclab19.idi.ntnu.no,16.4004335,"[20.459211, 17.475526, 16.443924, 16.356943, 16.235704, 16.280513, 16.493165, 16.251414, 16.216933, 16.445443]",1702759334679,True,0.4117784000001848
64,4,8,32,10,1,0,1,0,"(3, 1, 0, 2, 4)",hpclab19.idi.ntnu.no,19.516338,"[19.42848, 19.361357, 19.60988, 19.575398, 19.270938, 19.373007, 19.57608, 19.666119, 19.548248, 19.484428]",1702759336294,True,0.45813210000014803
1024,16,4,4,2,2,1,1,0,"(1, 3, 2, 0, 4)",hpclab19.idi.ntnu.no,10.0412595,"[10.062604, 10.041414, 10.046015, 10.020196, 10.029224, 10.033425, 10.054424, 10.035384, 10.033425, 10.036744]",1702759337441,True,0.24033180000005813
4,8,16,16,12,0,0,1,0,"(1, 0, 3, 2, 4)",hpclab19.idi.ntnu.no,6.730955,"[6.84204, 6.9115, 6.78296, 6.8063, 6.73024, 6.710159, 6.683961, 6.692209, 6.758491, 6.79902]",1702759338407,True,0.24654950000003736
4,2,32,64,12,0,1,0,0,"(1, 3, 2, 0, 4)",hpclab19.idi.ntnu.no,75.557491,"[75.31132, 75.336741, 75.167109, 75.771211, 76.017712, 75.494, 75.543401, 76.312671, 76.674943, 75.949691]",1702759342830,True,1.7598912999997993
64,16,16,128,8,1,0,1,0,"(2, 0, 3, 1, 4)",hpclab19.idi.ntnu.no,4.597552500000001,"[5.268138, 4.671166, 4.557227, 4.580257, 4.547026, 4.584927, 4.566086, 4.564145, 4.579118, 4.562657]",1702759343685,True,0.15958799999971235
4,2,32,128,12,1,0,0,0,"(0, 1, 3, 2, 4)",hpclab61.idi.ntnu.no,3.373682,"[3.477703, 3.398802, 3.374954, 3.358133, 3.314822, 3.372242, 3.395273, 3.375812, 3.376053, 3.321972]",1702759325289,True,0.15589400000026216
512,8,16,32,10,2,0,0,0,"(1, 3, 2, 0, 4)",hpclab61.idi.ntnu.no,38.856288500000005,"[39.10167, 39.102408, 38.823619, 38.809228, 38.80163, 38.780738, 38.827619, 38.82573, 38.851518, 38.773979]",1702759327882,True,1.0823185999994167
256,16,16,32,12,2,0,0,0,"(3, 0, 1, 2, 4)",hpclab61.idi.ntnu.no,41.4994755,"[41.622772, 41.750041, 41.50975, 41.515021, 41.51384, 41.507672, 41.521291, 41.54124, 41.529631, 41.50926]",1702759330587,True,1.1772203000000445
64,16,2,256,6,0,0,1,0,"(2, 1, 3, 0, 4)",hpclab61.idi.ntnu.no,4.9657035,"[4.940754, 4.845183, 4.840764, 4.829533, 4.813714, 4.830065, 4.829273, 4.841054, 4.814923, 4.899834]",1702759331494,True,0.14240439999994123
16,4,4,64,4,2,1,0,0,"(0, 2, 1, 3, 4)",hpclab61.idi.ntnu.no,5.278199,"[5.608874, 5.359644, 5.359344, 5.296113, 5.187274, 5.343634, 5.299844, 5.324244, 5.262355, 5.221484]",1702759332359,True,0.16521670000001903
16,4,8,4,8,0,0,0,0,"(0, 2, 3, 1, 4)",hpclab61.idi.ntnu.no,1.9459665,"[2.472242, 2.114842, 1.972951, 1.949112, 1.911561, 1.916001, 1.920122, 1.935191, 1.910912, 1.951071]",1702759333076,True,0.07389909999983502
