chunk_size_i,chunk_size_fpos,chunk_size_k,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,repeats,wait_between_repeats,wait_after_run,iterations,compute_time
2,128,32,8,6,1,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,496.444682
2,256,64,32,10,0,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,827.9174025
256,64,16,16,12,0,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,5.3153714999999995
2,8,256,1,3,0,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,5841.7475675
8,64,16,1,11,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,103.825643
4,2,32,16,8,0,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,323.4848235
256,256,16,16,10,1,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,5.586207
2,64,4,2,13,2,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,525.2227095000001
2,2,64,16,2,2,0,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,646.5645245
32,16,16,4,3,0,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,41.94085
64,32,8,1,8,1,1,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,51.346828
256,4,32,16,6,2,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,7.1651095
128,64,64,4,13,0,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,9.270869000000001
32,128,16,32,7,2,0,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,44.7963075
2,64,64,4,20,1,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,752.8499865
2,8,8,8,12,1,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,1965.144847
128,4,8,2,20,0,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,11.885273999999999
64,16,2,2,12,2,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,12.2229805
4,2,256,2,13,2,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,5143.973904
4,256,4,2,3,0,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,141.2625215
8,32,4,2,2,1,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,210.266849
2,128,2,8,3,1,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,205.444659
256,128,8,8,12,0,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,0.9457765
256,128,256,8,14,1,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,10.060084499999999
256,64,32,1,20,2,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,4.506902
128,128,16,2,9,2,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,3.142318
32,2,16,2,6,2,0,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,42.007461500000005
256,128,32,4,5,1,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,12.9261915
8,2,128,32,15,1,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,1012.1043875
16,128,16,32,18,1,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,26.7080225
8,64,128,2,6,0,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,1624.3268325
256,64,2,4,9,0,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,4.5810065
8,32,64,32,13,1,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,252.2391935
8,8,2,16,19,0,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,17.9986015
8,16,8,1,4,0,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,161.78691049999998
4,128,32,32,3,2,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,688.5087715
4,128,8,16,13,0,0,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,323.6646375
4,256,32,8,5,1,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,737.334515
128,32,256,4,3,2,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,6.554412
64,8,16,2,16,1,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,40.3855385
128,32,64,16,9,1,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,11.041819
64,8,256,4,4,1,0,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,9.364806999999999
128,32,64,4,9,0,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,10.917205500000001
32,4,2,16,18,2,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,72.48168
32,256,16,16,11,0,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,18.2974615
8,128,256,2,15,2,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,182.333979
16,8,8,2,2,2,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,81.925859
2,64,16,8,2,0,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,1127.17811
128,64,4,32,7,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,11.0454555
64,128,256,4,12,0,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,735.285238
128,128,128,1,14,0,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,11.6771305
128,128,64,1,8,1,0,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,43.176564
32,2,64,2,5,0,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,139.271497
16,256,256,16,20,1,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,2961.116476
2,256,128,16,10,1,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,1775.09122
32,16,16,32,12,0,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,41.9536215
2,2,16,4,4,0,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,646.0076690000001
16,64,8,2,20,1,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,7.0815555
32,256,256,32,13,2,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,58.941104
64,8,128,8,3,2,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,21.307842
2,128,256,4,7,0,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,30252.998827
256,4,32,32,2,0,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,11.209911
32,4,2,8,2,2,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,41.831427500000004
2,8,4,16,5,2,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,375.495308
16,32,4,32,20,1,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,81.85318050000001
64,32,64,1,4,2,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,152.412355
8,128,2,32,14,0,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,13.057179999999999
64,2,64,1,6,1,0,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,5.959459000000001
2,2,16,32,17,1,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,469.397154
128,32,16,8,10,0,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,10.854693000000001
128,8,8,32,4,0,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,21.606896499999998
4,128,64,16,20,0,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,363.2258775
64,32,8,8,7,0,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,5.409515
8,32,64,4,15,0,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,187.68239849999998
32,8,2,8,3,1,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,70.4909
4,256,4,32,16,1,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,84.863369
256,64,4,8,6,0,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,4.2105545
32,2,2,1,18,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,124.78411750000001
128,32,4,1,13,2,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,21.661107
2,128,64,16,13,2,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,48.781258
256,2,4,16,15,2,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,6.4897785
8,64,4,32,7,1,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,162.2519855
2,64,32,32,19,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,364.5154965
8,32,4,2,20,2,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,22.562163
64,64,128,16,7,0,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,678.011473
64,32,32,1,17,0,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,21.182527999999998
128,32,64,8,4,0,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,159.882246
256,2,64,8,20,0,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,5.7955695
16,2,128,32,5,2,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,489.767466
64,8,4,8,12,2,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,4.7635825
32,64,4,8,16,1,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,4.5053395
128,4,8,16,11,1,0,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,3.373284
128,64,8,8,20,0,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,2.175221
8,4,32,16,2,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,3477.8253210000003
32,2,4,1,14,2,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,41.842352000000005
16,128,32,1,2,1,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,370.42041900000004
32,4,32,16,8,0,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,21.92282
8,8,2,2,9,1,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,68.59391
8,16,64,8,12,2,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,284.3479305
4,16,256,4,9,2,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,183.640616
64,4,256,1,17,0,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,335.008336
256,32,8,2,15,1,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,1.6611155
2,2,4,2,15,2,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,753.5741754999999
256,256,4,32,4,1,1,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,7.2057465
256,16,16,32,11,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,2.279251
2,2,2,1,2,2,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,2909.0838430000003
4,2,4,32,8,1,1,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,323.411173
4,2,256,4,7,2,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,323.478847
128,256,8,4,14,0,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,2.5606869999999997
64,16,256,32,14,2,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,21.506422999999998
32,16,16,8,13,1,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,61.2997355
2,16,2,4,9,1,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,1083.1403930000001
256,4,8,16,6,0,1,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,12.4609175
2,8,64,4,7,0,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,646.1585225
32,2,256,8,3,2,0,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,10.927029000000001
4,16,8,16,5,2,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,181.312287
256,16,4,8,18,1,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,3.446448
2,128,256,8,17,2,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,3102.473657
128,2,256,4,15,1,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,3.3305575000000003
256,2,2,32,11,0,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,2.8566599999999998
32,2,64,16,19,0,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,10.879193
256,32,64,2,14,2,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,3.92516
16,4,256,8,16,2,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,140.2616845
8,256,2,2,10,0,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,162.05473849999998
128,4,64,1,11,0,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,165.033573
8,16,128,2,19,2,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,91.924757
8,16,4,32,7,0,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,162.137234
256,64,64,2,5,2,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,40.743106999999995
32,8,128,1,7,2,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,344.480046
32,2,128,4,18,2,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,11.697478
32,4,16,4,2,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,593.3579195
128,128,256,32,5,0,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,11.381187
16,32,8,1,4,1,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,46.678135499999996
4,4,32,32,4,1,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,79.3279785
4,32,32,1,3,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,799.9382145
32,16,128,32,9,0,0,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,23.8599705
32,128,32,8,7,2,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,124.548705
16,8,64,1,7,2,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,55.7700825
8,64,64,16,9,0,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,151.050315
8,256,8,8,5,2,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,124.31777450000001
4,256,8,2,5,1,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,324.0143945
4,4,256,1,7,0,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,10694.121661
32,8,32,1,2,1,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,192.915575
2,256,128,16,13,1,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,1705.926535
256,8,4,8,7,1,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,5.950969000000001
2,32,4,32,11,0,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,646.06242
4,64,2,2,8,1,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,323.3509535
256,2,2,16,17,2,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,2.2248504999999996
256,128,4,32,18,0,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,3.6586625
64,2,64,8,3,2,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,124.09814349999999
16,64,64,2,6,1,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,59.9468425
16,4,64,32,6,2,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,27.9649755
4,8,32,4,3,1,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,429.3316685
64,64,8,1,7,1,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,51.793553
16,128,2,2,13,0,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,27.051420999999998
16,256,8,8,3,1,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,106.62708599999999
128,256,256,8,11,2,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,15.315156
256,2,64,2,9,2,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,67.17966100000001
64,16,16,32,10,0,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,16.264331
8,4,64,4,17,2,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,61.970889
16,16,128,16,14,0,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,82.041312
16,32,32,16,2,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,551.093042
4,2,128,8,20,0,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,203.93275699999998
8,8,4,16,5,1,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,62.398126500000004
4,2,8,16,11,1,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,323.3823405
16,256,128,8,5,0,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,29.170845
128,32,32,1,14,1,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,61.5132605
128,4,8,4,7,2,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,14.1985495
256,8,16,2,20,0,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,1.9372924999999999
256,32,256,4,19,2,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,4.9873475
256,2,16,32,19,1,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,1.9594494999999998
2,128,256,8,15,2,0,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,646.7750384999999
256,8,4,16,20,0,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,2.8560084999999997
32,4,4,16,15,2,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,44.861536
128,128,128,2,7,0,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,10.981807499999999
16,8,256,16,20,1,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,199.2016415
2,256,16,32,9,0,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,842.763632
16,4,8,2,7,0,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,321.309979
4,4,128,2,14,1,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,1515.6459140000002
256,16,64,4,12,1,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,3.7786929999999996
16,16,32,32,2,1,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,309.066296
2,32,16,2,10,0,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,341.009329
2,256,2,16,13,2,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,136.620412
256,32,256,2,7,0,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,6.1184995
128,8,2,8,9,2,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,11.2047265
8,256,32,4,8,0,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,240.9509995
16,4,64,16,18,2,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,132.717499
256,16,256,32,8,2,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,3.6825609999999998
256,256,32,32,4,2,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,7.642580000000001
64,16,128,1,2,0,1,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,978.149287
256,8,256,1,7,0,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,17.948407500000002
128,16,16,16,4,1,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,30.356099
16,32,128,8,16,2,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,219.076073
4,16,4,1,17,2,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,28.1118645
8,256,4,16,11,1,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,214.95073150000002
128,16,128,2,17,1,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,39.7060545
64,4,256,32,14,1,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,40.0583435
32,32,64,16,13,0,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,26.602014500000003
2,32,64,16,18,1,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,746.185796
8,32,16,2,16,2,0,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,95.182054
8,32,2,1,4,2,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,477.041121
4,256,64,2,9,1,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,428.7457825
8,32,256,32,13,0,1,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,162.23057799999998
2,16,16,32,17,2,0,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,361.605993
64,4,256,32,16,2,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,35.548463
128,64,4,2,9,1,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,5.724133999999999
32,256,256,2,18,2,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,1549.086595
2,16,8,16,2,1,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,646.407384
16,4,256,2,11,0,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,1000.7313435
32,256,128,4,4,1,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,1680.5618465
64,16,4,16,17,0,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,21.4280885
256,8,128,32,9,2,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,16.693142
32,128,4,8,14,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,18.5795815
8,4,32,8,8,0,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,582.0334985
64,2,128,8,20,2,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,7.9113430000000005
2,16,256,4,4,1,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,23964.669729
256,2,8,1,17,2,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,6.0235445
2,4,64,32,6,2,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,5854.27451
128,4,128,4,13,2,0,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,11.2431485
128,4,256,2,10,0,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,24.538483
2,256,8,2,17,2,1,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,234.4862025
64,4,4,2,17,2,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,8.4529215
64,8,256,32,18,2,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,21.4296335
2,2,4,4,17,1,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,361.349749
32,64,2,2,8,1,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,33.889787
64,2,32,2,8,1,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,105.94968800000001
8,256,256,2,7,1,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,910.195684
32,64,8,1,4,0,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,9.9118275
16,256,16,4,18,0,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,108.319144
16,4,256,2,9,2,0,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,21.085279999999997
16,64,8,2,8,0,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,24.805667
16,128,2,2,8,1,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,10.778989
2,32,8,8,19,0,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,77.351579
32,256,16,2,16,2,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,6.7847015
2,2,2,32,16,0,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,300.43685
8,16,16,1,3,0,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,331.56133850000003
64,8,32,16,6,1,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,39.325131
64,4,128,2,20,2,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,14.205218
128,32,128,8,9,0,0,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,11.120363
4,64,64,4,2,0,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,223.115724
256,4,4,32,2,0,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,23.885374499999998
256,4,128,2,13,0,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,19.564033000000002
256,8,128,2,19,1,1,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,5.9637835
4,32,8,1,10,1,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,323.661246
4,32,8,1,15,0,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,195.051776
4,2,8,8,18,1,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,174.506766
8,8,2,2,10,2,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,295.0537805
128,2,8,8,8,1,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,11.3164075
2,16,32,32,8,1,1,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,646.3743995
16,32,2,4,14,0,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,17.9866975
4,256,256,2,10,2,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,353.146074
128,8,64,8,20,1,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,17.795034
16,256,2,32,9,0,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,82.247406
128,32,2,2,7,0,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,11.431855500000001
4,16,64,1,12,0,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,323.64319950000004
128,2,128,32,20,1,0,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,4.3335475
256,32,64,4,2,2,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,6.3115105
8,16,32,8,13,0,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,131.5133985
128,16,128,1,3,2,0,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,153.61314299999998
4,16,16,16,14,2,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,341.55471
8,256,32,16,4,2,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,153.3693695
64,32,32,1,5,1,0,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,21.825498000000003
16,64,16,1,13,2,0,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,55.0419095
128,64,2,1,12,0,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,15.9893405
32,2,2,2,5,1,0,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,70.67894100000001
8,64,64,8,4,0,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,114.491233
8,128,256,16,3,1,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,162.6758
8,4,8,32,13,0,0,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,162.27372450000001
8,2,8,1,16,2,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,446.16918699999997
8,4,4,32,8,1,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,269.0780975
2,128,32,16,4,1,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,3429.3440565
